region,date,sessions,add_to_carts,checkouts,total_orders
Mexico City,6/30/2024,25396.3,1135.6,562.7,76.5
Mexico City,9/21/2024,25343.6,1220.6,729.3,110.5
Mexico City,9/16/2024,25190.6,1395.7,826.2,69.7
Mexico City,12/10/2023,25141.3,977.5,732.7,88.4
Mexico City,9/18/2024,25127.7,1247.8,651.1,117.3
Mexico City,10/18/2024,25044.4,1084.6,742.9,112.2
Mexico City,9/25/2024,25044.4,1601.4,1074.4,127.5
Mexico City,10/5/2024,25013.8,1422.9,778.6,108.8
Jalisco,11/23/2024,24813.2,717.4,307.7,71.4
Mexico City,4/16/2024,24711.2,826.2,402.9,81.6
México,11/18/2024,24701,872.1,697,212.5
Mexico City,10/8/2024,24663.6,1387.2,841.5,102
Nuevo León,11/19/2024,24582,668.1,323,90.1
México,5/16/2024,24459.6,987.7,518.5,129.2
Mexico City,8/17/2024,24427.3,1339.6,938.4,105.4
Jalisco,11/17/2024,24372.9,962.2,603.5,176.8
Mexico City,4/15/2024,24335.5,853.4,506.6,108.8
Mexico City,7/5/2024,24269.2,1157.7,698.7,103.7
Mexico City,12/9/2023,24247.1,865.3,753.1,124.1
,5/15/2024,24245.4,749.7,309.4,52.7
Jalisco,11/16/2024,24221.6,952,520.2,158.1
Mexico City,10/9/2024,24185.9,1305.6,841.5,90.1
Nuevo León,11/13/2024,24157,746.3,414.8,71.4
Mexico City,10/19/2024,24129.8,958.8,603.5,51
Mexico City,3/9/2024,24114.5,729.3,294.1,66.3
Jalisco,11/15/2024,24048.2,1045.5,654.5,205.7
Mexico City,7/6/2024,23934.3,907.8,460.7,113.9
Mexico City,6/28/2024,23922.4,1128.8,606.9,74.8
Nuevo León,11/27/2024,23913.9,544,251.6,61.2
Mexico City,12/8/2023,23723.5,965.6,797.3,130.9
Jalisco,11/22/2024,23718.4,683.4,283.9,79.9
México,7/16/2024,23592.6,996.2,428.4,113.9
Nuevo León,12/1/2024,23570.5,729.3,306,73.1
Nuevo León,11/12/2024,23550.1,1013.2,589.9,74.8
Mexico City,9/24/2024,23534.8,1596.3,1130.5,146.2
Mexico City,3/4/2024,23466.8,868.7,396.1,105.4
Mexico City,4/10/2024,23460,812.6,419.9,86.7
Mexico City,3/10/2024,23454.9,746.3,370.6,102
Mexico City,5/9/2024,23271.3,749.7,402.9,96.9
Mexico City,9/27/2024,23133.6,1377,885.7,125.8
Mexico City,3/7/2024,23126.8,865.3,385.9,91.8
Mexico City,8/29/2024,23114.9,1229.1,916.3,103.7
Mexico City,7/7/2024,23092.8,911.2,474.3,136
Mexico City,3/24/2024,23084.3,829.6,346.8,95.2
México,11/15/2024,22883.7,831.3,566.1,129.2
México,5/23/2024,22868.4,912.9,588.2,120.7
Mexico City,5/12/2024,22841.2,698.7,289,78.2
México,11/24/2024,22785.1,559.3,273.7,47.6
Nuevo León,11/29/2024,22763,685.1,404.6,107.1
Mexico City,5/11/2024,22698.4,680,297.5,73.1
Mexico City,4/11/2024,22616.8,833,416.5,98.6
Mexico City,4/19/2024,22545.4,693.6,350.2,78.2
Mexico City,4/7/2024,22474,734.4,404.6,102
Mexico City,3/8/2024,22412.8,727.6,340,86.7
Mexico City,4/23/2024,22366.9,734.4,385.9,86.7
Mexico City,3/12/2024,22234.3,822.8,375.7,105.4
Mexico City,4/28/2024,22185,744.6,336.6,90.1
México,11/16/2024,22122.1,727.6,470.9,119
Mexico City,6/12/2024,22122.1,916.3,528.7,78.2
Mexico City,7/25/2024,22103.4,1598,1113.5,178.5
Mexico City,6/10/2024,22086.4,1020,544,98.6
Mexico City,4/22/2024,22066,722.5,343.4,68
Mexico City,3/6/2024,21940.2,804.1,397.8,95.2
Mexico City,4/24/2024,21872.2,722.5,387.6,76.5
Mexico City,3/5/2024,21865.4,865.3,379.1,103.7
Nuevo León,11/5/2024,21860.3,1140.7,657.9,45.9
Mexico City,6/11/2024,21814.4,974.1,537.2,108.8
México,11/17/2024,21731.1,693.6,499.8,142.8
Nuevo León,12/3/2024,21709,753.1,353.6,90.1
Mexico City,4/13/2024,21588.3,691.9,360.4,78.2
Mexico City,4/25/2024,21583.2,746.3,370.6,78.2
Mexico City,4/6/2024,21471,612,282.2,61.2
Mexico City,6/17/2024,21428.5,1047.2,498.1,91.8
México,11/23/2024,21370.7,533.8,227.8,44.2
Mexico City,6/18/2024,21358.8,984.3,567.8,91.8
Mexico City,3/18/2024,21182,894.2,567.8,96.9
Mexico City,3/19/2024,21120.8,880.6,521.9,79.9
México,5/19/2024,21102.1,739.5,355.3,91.8
Mexico City,3/1/2024,20996.7,731,343.4,90.1
