2025-07-28 16:53:13 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-28 16:53:19 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-28 16:53:19 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-28 16:53:19 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-28 16:53:19 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-28 16:53:19 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-28 16:53:20 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-28 16:53:22 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-28 16:53:22 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-28 16:53:25 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-28 16:53:25 | INFO     | Murray.main:run_geo_analysis_streamlit_app:2065 | Starting run_geo_analysis_streamlit_app............
2025-07-28 16:53:25 | INFO     | Murray.main:run_geo_analysis_streamlit_app:2074 | Step 1: Generating market correlations.....
2025-07-28 16:53:25 | INFO     | Murray.main:run_geo_analysis_streamlit_app:2076 | Market correlations generated successfully.
2025-07-28 16:53:25 | INFO     | Murray.main:run_geo_analysis_streamlit_app:2079 | Step 2: Finding best groups for control and treatment.....
2025-07-28 16:53:25 | INFO     | Murray.main:BetterGroups:1007 | Starting single-cell mode
2025-07-28 16:53:27 | INFO     | Murray.main:BetterGroups:1039 | Processed 1/40000 groups
2025-07-28 16:54:23 | INFO     | Murray.main:BetterGroups:1039 | Processed 4000/40000 groups
2025-07-28 16:55:17 | INFO     | Murray.main:BetterGroups:1039 | Processed 8000/40000 groups
2025-07-28 16:56:07 | INFO     | Murray.main:BetterGroups:1039 | Processed 12000/40000 groups
2025-07-28 16:56:55 | INFO     | Murray.main:BetterGroups:1039 | Processed 16000/40000 groups
2025-07-28 16:57:40 | INFO     | Murray.main:BetterGroups:1039 | Processed 20000/40000 groups
2025-07-28 16:58:18 | INFO     | Murray.main:BetterGroups:1039 | Processed 24000/40000 groups
2025-07-28 16:58:53 | INFO     | Murray.main:BetterGroups:1039 | Processed 28000/40000 groups
2025-07-28 16:59:26 | INFO     | Murray.main:BetterGroups:1039 | Processed 32000/40000 groups
2025-07-28 16:59:52 | INFO     | Murray.main:BetterGroups:1039 | Processed 36000/40000 groups
2025-07-28 17:00:14 | INFO     | Murray.main:BetterGroups:1039 | Processed 40000/40000 groups
2025-07-28 17:00:14 | INFO     | Murray.main:BetterGroups:1040 | All groups processed. Results count: 40000
2025-07-28 17:00:14 | INFO     | Murray.main:run_geo_analysis_streamlit_app:2096 | BetterGroups completed successfully. Results for 8 sizes
2025-07-28 17:00:14 | INFO     | Murray.main:run_geo_analysis_streamlit_app:2101 | Step 3: Evaluating sensitivity for different deltas and periods.....
2025-07-28 17:01:04 | INFO     | Murray.main:evaluate_sensitivity:1937 | Period 15 completed for size 6. MDE found: 0.03 with p-value: 0.0019, power: 1.0000
2025-07-28 17:01:54 | INFO     | Murray.main:evaluate_sensitivity:1937 | Period 20 completed for size 6. MDE found: 0.02 with p-value: 0.0107, power: 0.9000
2025-07-28 17:02:44 | INFO     | Murray.main:evaluate_sensitivity:1937 | Period 25 completed for size 6. MDE found: 0.02 with p-value: 0.0178, power: 0.8800
2025-07-28 17:03:35 | INFO     | Murray.main:evaluate_sensitivity:1937 | Period 30 completed for size 6. MDE found: 0.03 with p-value: 0.0011, power: 1.0000
2025-07-28 17:04:24 | INFO     | Murray.main:evaluate_sensitivity:1937 | Period 15 completed for size 7. MDE found: 0.03 with p-value: 0.0315, power: 0.8400
2025-07-28 17:05:15 | INFO     | Murray.main:evaluate_sensitivity:1937 | Period 20 completed for size 7. MDE found: 0.02 with p-value: 0.0411, power: 0.8400
2025-07-28 17:06:05 | INFO     | Murray.main:evaluate_sensitivity:1937 | Period 25 completed for size 7. MDE found: 0.02 with p-value: 0.0220, power: 0.9200
2025-07-28 17:06:55 | INFO     | Murray.main:evaluate_sensitivity:1937 | Period 30 completed for size 7. MDE found: 0.02 with p-value: 0.0151, power: 0.9000
2025-07-28 17:07:45 | INFO     | Murray.main:evaluate_sensitivity:1937 | Period 15 completed for size 8. MDE found: 0.02 with p-value: 0.0264, power: 0.8800
2025-07-28 17:08:36 | INFO     | Murray.main:evaluate_sensitivity:1937 | Period 20 completed for size 8. MDE found: 0.02 with p-value: 0.0067, power: 0.9600
2025-07-28 17:09:26 | INFO     | Murray.main:evaluate_sensitivity:1937 | Period 25 completed for size 8. MDE found: 0.02 with p-value: 0.0056, power: 0.9800
2025-07-28 17:10:17 | INFO     | Murray.main:evaluate_sensitivity:1937 | Period 30 completed for size 8. MDE found: 0.02 with p-value: 0.0034, power: 1.0000
2025-07-28 17:11:07 | INFO     | Murray.main:evaluate_sensitivity:1937 | Period 15 completed for size 9. MDE found: 0.02 with p-value: 0.0139, power: 0.9400
2025-07-28 17:11:58 | INFO     | Murray.main:evaluate_sensitivity:1937 | Period 20 completed for size 9. MDE found: 0.02 with p-value: 0.0007, power: 1.0000
2025-07-28 17:12:49 | INFO     | Murray.main:evaluate_sensitivity:1937 | Period 25 completed for size 9. MDE found: 0.02 with p-value: 0.0045, power: 0.9600
2025-07-28 17:13:40 | INFO     | Murray.main:evaluate_sensitivity:1937 | Period 30 completed for size 9. MDE found: 0.02 with p-value: 0.0095, power: 0.9600
2025-07-28 17:14:31 | INFO     | Murray.main:evaluate_sensitivity:1937 | Period 15 completed for size 10. MDE found: 0.02 with p-value: 0.0205, power: 0.9000
2025-07-28 17:15:23 | INFO     | Murray.main:evaluate_sensitivity:1937 | Period 20 completed for size 10. MDE found: 0.02 with p-value: 0.0185, power: 0.9200
