2025-08-09 12:15:56 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-09 12:16:00 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-09 12:16:05 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-09 12:16:05 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1601 | Starting run_geo_analysis_streamlit_app............
2025-08-09 12:16:05 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1610 | Step 1: Generating market correlations.....
2025-08-09 12:16:05 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1612 | Market correlations generated successfully.
2025-08-09 12:16:05 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1615 | Step 2: Finding best groups for control and treatment.....
2025-08-09 12:16:05 | INFO     | Murray.main:BetterGroups:893 | Starting single-cell mode
2025-08-09 12:16:08 | INFO     | Murray.main:BetterGroups:925 | Processed 1/50000 groups
2025-08-09 12:16:56 | INFO     | Murray.main:BetterGroups:925 | Processed 5000/50000 groups
2025-08-09 12:17:45 | INFO     | Murray.main:BetterGroups:925 | Processed 10000/50000 groups
2025-08-09 12:18:32 | INFO     | Murray.main:BetterGroups:925 | Processed 15000/50000 groups
2025-08-09 12:19:17 | INFO     | Murray.main:BetterGroups:925 | Processed 20000/50000 groups
2025-08-09 12:19:59 | INFO     | Murray.main:BetterGroups:925 | Processed 25000/50000 groups
2025-08-09 12:20:39 | INFO     | Murray.main:BetterGroups:925 | Processed 30000/50000 groups
2025-08-09 12:21:15 | INFO     | Murray.main:BetterGroups:925 | Processed 35000/50000 groups
2025-08-09 12:21:48 | INFO     | Murray.main:BetterGroups:925 | Processed 40000/50000 groups
2025-08-09 12:22:15 | INFO     | Murray.main:BetterGroups:925 | Processed 45000/50000 groups
2025-08-09 12:22:38 | INFO     | Murray.main:BetterGroups:925 | Processed 50000/50000 groups
2025-08-09 12:22:38 | INFO     | Murray.main:BetterGroups:926 | All groups processed. Results count: 50000
2025-08-09 12:22:38 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1631 | BetterGroups completed successfully. Results for 10 sizes
2025-08-09 12:22:38 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1636 | Step 3: Evaluating sensitivity for different deltas and periods.....
2025-08-09 12:23:25 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 5 completed for size 5. MDE found: None with p-value: None, power: None
2025-08-09 12:24:14 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 10 completed for size 5. MDE found: 0.09 with p-value: 0.0217, power: 0.8750
2025-08-09 12:25:01 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 15 completed for size 5. MDE found: 0.09999999999999999 with p-value: 0.0295, power: 0.8250
2025-08-09 12:25:50 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 20 completed for size 5. MDE found: 0.08 with p-value: 0.0179, power: 0.9000
2025-08-09 12:26:38 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 25 completed for size 5. MDE found: 0.060000000000000005 with p-value: 0.0355, power: 0.8000
2025-08-09 12:27:27 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 30 completed for size 5. MDE found: 0.04 with p-value: 0.0225, power: 0.9500
2025-08-09 12:28:15 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 5 completed for size 6. MDE found: 0.02 with p-value: 0.0335, power: 0.8500
2025-08-09 12:29:03 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 10 completed for size 6. MDE found: 0.01 with p-value: 0.0312, power: 0.8250
2025-08-09 12:29:51 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 15 completed for size 6. MDE found: 0.03 with p-value: 0.0294, power: 0.8750
2025-08-09 12:30:39 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 20 completed for size 6. MDE found: 0.02 with p-value: 0.0317, power: 0.8250
