2025-08-09 18:50:16 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-09 18:50:20 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-09 18:50:21 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-09 18:50:21 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-09 18:50:21 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1601 | Starting run_geo_analysis_streamlit_app............
2025-08-09 18:50:21 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1610 | Step 1: Generating market correlations.....
2025-08-09 18:50:21 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1612 | Market correlations generated successfully.
2025-08-09 18:50:21 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1615 | Step 2: Finding best groups for control and treatment.....
2025-08-09 18:50:21 | INFO     | Murray.main:BetterGroups:893 | Starting single-cell mode
2025-08-09 18:50:22 | INFO     | Murray.main:BetterGroups:925 | Processed 1/30000 groups
2025-08-09 18:50:37 | INFO     | Murray.main:BetterGroups:925 | Processed 3000/30000 groups
2025-08-09 18:50:49 | INFO     | Murray.main:BetterGroups:925 | Processed 6000/30000 groups
2025-08-09 18:51:03 | INFO     | Murray.main:BetterGroups:925 | Processed 9000/30000 groups
2025-08-09 18:51:14 | INFO     | Murray.main:BetterGroups:925 | Processed 12000/30000 groups
2025-08-09 18:51:26 | INFO     | Murray.main:BetterGroups:925 | Processed 15000/30000 groups
2025-08-09 18:51:37 | INFO     | Murray.main:BetterGroups:925 | Processed 18000/30000 groups
2025-08-09 18:51:47 | INFO     | Murray.main:BetterGroups:925 | Processed 21000/30000 groups
2025-08-09 18:51:56 | INFO     | Murray.main:BetterGroups:925 | Processed 24000/30000 groups
2025-08-09 18:52:04 | INFO     | Murray.main:BetterGroups:925 | Processed 27000/30000 groups
2025-08-09 18:52:13 | INFO     | Murray.main:BetterGroups:925 | Processed 30000/30000 groups
2025-08-09 18:52:13 | INFO     | Murray.main:BetterGroups:926 | All groups processed. Results count: 30000
2025-08-09 18:52:13 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1631 | BetterGroups completed successfully. Results for 6 sizes
2025-08-09 18:52:13 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1636 | Step 3: Evaluating sensitivity for different deltas and periods.....
2025-08-09 18:52:24 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 10 completed for size 5. MDE found: None with p-value: None, power: None
2025-08-09 18:52:36 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 15 completed for size 5. MDE found: None with p-value: None, power: None
2025-08-09 18:52:48 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 20 completed for size 5. MDE found: None with p-value: None, power: None
2025-08-09 18:53:00 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 25 completed for size 5. MDE found: None with p-value: None, power: None
2025-08-09 18:53:12 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 30 completed for size 5. MDE found: 0.09 with p-value: 0.0306, power: 0.8750
2025-08-09 18:53:25 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 10 completed for size 6. MDE found: None with p-value: None, power: None
2025-08-09 18:53:36 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 15 completed for size 6. MDE found: None with p-value: None, power: None
2025-08-09 18:53:49 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 20 completed for size 6. MDE found: 0.13 with p-value: 0.0349, power: 0.8750
2025-08-09 18:54:01 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 25 completed for size 6. MDE found: 0.09999999999999999 with p-value: 0.0376, power: 0.8000
2025-08-09 18:54:12 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 30 completed for size 6. MDE found: 0.060000000000000005 with p-value: 0.0248, power: 0.9750
2025-08-09 18:54:25 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 10 completed for size 7. MDE found: None with p-value: None, power: None
2025-08-09 18:54:36 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 15 completed for size 7. MDE found: 0.11 with p-value: 0.0347, power: 0.8250
2025-08-09 18:54:48 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 20 completed for size 7. MDE found: 0.09999999999999999 with p-value: 0.0369, power: 0.8750
2025-08-09 18:55:00 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 25 completed for size 7. MDE found: 0.09999999999999999 with p-value: 0.0277, power: 0.8750
2025-08-09 18:55:12 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 30 completed for size 7. MDE found: 0.060000000000000005 with p-value: 0.0366, power: 0.8000
2025-08-09 18:55:23 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 10 completed for size 8. MDE found: None with p-value: None, power: None
2025-08-09 18:55:36 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 15 completed for size 8. MDE found: 0.05 with p-value: 0.0397, power: 0.8250
2025-08-09 18:55:47 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 20 completed for size 8. MDE found: 0.09999999999999999 with p-value: 0.0369, power: 0.8750
2025-08-09 18:55:58 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 25 completed for size 8. MDE found: 0.12 with p-value: 0.0363, power: 0.8000
2025-08-09 18:56:12 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 30 completed for size 8. MDE found: 0.060000000000000005 with p-value: 0.0306, power: 0.8250
2025-08-09 18:56:23 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 10 completed for size 9. MDE found: None with p-value: None, power: None
2025-08-09 18:56:34 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 15 completed for size 9. MDE found: None with p-value: None, power: None
2025-08-09 18:56:47 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 20 completed for size 9. MDE found: None with p-value: None, power: None
2025-08-09 18:56:58 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 25 completed for size 9. MDE found: None with p-value: None, power: None
2025-08-09 18:57:12 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 30 completed for size 9. MDE found: None with p-value: None, power: None
2025-08-09 18:57:23 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 10 completed for size 10. MDE found: None with p-value: None, power: None
2025-08-09 18:57:34 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 15 completed for size 10. MDE found: 0.12 with p-value: 0.0358, power: 0.8000
2025-08-09 18:57:47 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 20 completed for size 10. MDE found: 0.13 with p-value: 0.0380, power: 0.8000
2025-08-09 18:57:59 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 25 completed for size 10. MDE found: None with p-value: None, power: None
2025-08-09 18:58:10 | INFO     | Murray.main:evaluate_sensitivity:1479 | Period 30 completed for size 10. MDE found: 0.12 with p-value: 0.0296, power: 0.9500
2025-08-09 18:58:10 | INFO     | Murray.main:evaluate_sensitivity:1496 | evaluate_sensitivity completed successfully.
2025-08-09 18:58:10 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1651 | Sensitivity evaluation completed successfully.
2025-08-09 18:58:10 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1655 | run_geo_analysis_streamlit_app completed successfully
2025-08-09 18:58:10 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-09 18:58:56 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-09 18:58:56 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-09 18:58:56 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-09 18:58:57 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-08-09 18:58:57 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
