2025-07-06 15:04:53 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 134
2025-07-06 15:04:53 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 135
2025-07-06 15:04:53 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 136
2025-07-06 15:04:54 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 137
2025-07-06 15:04:54 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 138
2025-07-06 15:04:54 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 139
2025-07-06 15:04:55 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 140
2025-07-06 15:04:55 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 141
2025-07-06 15:04:55 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 142
2025-07-06 15:04:56 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 143
2025-07-06 15:04:56 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 144
2025-07-06 15:04:56 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 145
2025-07-06 15:04:57 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 146
2025-07-06 15:04:57 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 147
2025-07-06 15:04:57 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 148
2025-07-06 15:04:57 | INFO     | Murray.main:BetterGroups:435 | Total possible groups generated: 170000
2025-07-06 15:05:02 | INFO     | Murray.main:BetterGroups:455 | Tasks submitted, starting to collect results...
2025-07-06 15:05:02 | INFO     | Murray.main:BetterGroups:477 | Processed 1/170000 groups
2025-07-06 15:09:22 | INFO     | Murray.main:BetterGroups:477 | Processed 17000/170000 groups
2025-07-06 15:13:10 | INFO     | Murray.main:BetterGroups:477 | Processed 34000/170000 groups
2025-07-06 15:16:53 | INFO     | Murray.main:BetterGroups:477 | Processed 51000/170000 groups
2025-07-06 15:20:40 | INFO     | Murray.main:BetterGroups:477 | Processed 68000/170000 groups
2025-07-06 15:24:45 | INFO     | Murray.main:BetterGroups:477 | Processed 85000/170000 groups
2025-07-06 15:28:52 | INFO     | Murray.main:BetterGroups:477 | Processed 102000/170000 groups
2025-07-06 15:32:54 | INFO     | Murray.main:BetterGroups:477 | Processed 119000/170000 groups
2025-07-06 15:36:50 | INFO     | Murray.main:BetterGroups:477 | Processed 136000/170000 groups
2025-07-06 15:40:52 | INFO     | Murray.main:BetterGroups:477 | Processed 153000/170000 groups
2025-07-06 15:43:27 | ERROR    | Murray.auxiliary:cleaned_data:132 | An unexpected error occurred: 'location'
2025-07-06 15:43:28 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:43:35 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:43:35 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:43:37 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:43:39 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:43:43 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:43:46 | WARNING  | Murray.auxiliary:handle_duplicates:31 | Found 17177 duplicate entries in the data. Aggregating by mean.
2025-07-06 15:43:47 | INFO     | Murray.metrics:update_metrics:57 | New record added: {'timestamp': '2025-07-06 15:43:47', 'section': 'experimental_design', 'date': '2025-07-06', 'day_of_week': 'Sunday', 'hour': 15}
2025-07-06 15:43:47 | INFO     | Murray.main:run_geo_analysis_streamlit_app:787 | Starting run_geo_analysis_streamlit_app............
2025-07-06 15:43:47 | INFO     | Murray.main:run_geo_analysis_streamlit_app:798 | Step 1: Generating market correlations.....
2025-07-06 15:43:47 | INFO     | Murray.main:run_geo_analysis_streamlit_app:800 | Market correlations generated successfully.
2025-07-06 15:43:47 | INFO     | Murray.main:run_geo_analysis_streamlit_app:806 | Step 2: Finding best groups for control and treatment.....
2025-07-06 15:43:47 | INFO     | Murray.main:BetterGroups:408 | Number of locations: 329
2025-07-06 15:43:47 | INFO     | Murray.main:BetterGroups:410 | Maximum treatment group size: 148
2025-07-06 15:43:47 | INFO     | Murray.main:BetterGroups:412 | Minimum treatment group size: 115
2025-07-06 15:43:48 | INFO     | Murray.main:BetterGroups:429 | Generating possible treatment groups...
2025-07-06 15:43:48 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 115
2025-07-06 15:43:49 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 116
2025-07-06 15:43:50 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 117
2025-07-06 15:43:50 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 118
2025-07-06 15:43:51 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 119
2025-07-06 15:43:51 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 120
2025-07-06 15:43:52 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 121
2025-07-06 15:43:53 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 122
2025-07-06 15:43:53 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 123
2025-07-06 15:43:54 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 124
2025-07-06 15:43:55 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 125
2025-07-06 15:43:55 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 126
2025-07-06 15:43:56 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 127
2025-07-06 15:43:57 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 128
2025-07-06 15:43:57 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 129
2025-07-06 15:43:58 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 130
2025-07-06 15:43:59 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 131
2025-07-06 15:43:59 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 132
2025-07-06 15:44:00 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 133
2025-07-06 15:44:00 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 134
2025-07-06 15:44:01 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 135
2025-07-06 15:44:02 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 136
2025-07-06 15:44:03 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 137
2025-07-06 15:44:04 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 138
2025-07-06 15:44:04 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 139
2025-07-06 15:44:05 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 140
2025-07-06 15:44:05 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 141
2025-07-06 15:44:06 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 142
2025-07-06 15:44:07 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 143
2025-07-06 15:44:07 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 144
2025-07-06 15:44:08 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 145
2025-07-06 15:44:09 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 146
2025-07-06 15:44:09 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 147
2025-07-06 15:44:10 | INFO     | Murray.main:BetterGroups:433 | Generated 5000 groups for size 148
2025-07-06 15:44:10 | INFO     | Murray.main:BetterGroups:435 | Total possible groups generated: 170000
2025-07-06 15:44:18 | INFO     | Murray.main:BetterGroups:455 | Tasks submitted, starting to collect results...
2025-07-06 15:44:19 | INFO     | Murray.main:BetterGroups:477 | Processed 1/170000 groups
2025-07-06 15:45:19 | INFO     | Murray.main:BetterGroups:477 | Processed 170000/170000 groups
2025-07-06 15:45:19 | INFO     | Murray.main:BetterGroups:479 | All groups processed. Results count: 170000
2025-07-06 15:45:19 | INFO     | Murray.main:BetterGroups:482 | Organizing results by size...
2025-07-06 15:45:19 | INFO     | Murray.main:BetterGroups:509 | Best result for size 115: MAPE=1196823235812.6809, SMAPE=192.9387, Holdout=70.03%
2025-07-06 15:45:19 | INFO     | Murray.main:BetterGroups:509 | Best result for size 116: MAPE=2069007332946.8188, SMAPE=193.0181, Holdout=72.67%
2025-07-06 15:45:19 | INFO     | Murray.main:BetterGroups:509 | Best result for size 117: MAPE=1253770626926.2532, SMAPE=193.1086, Holdout=71.53%
2025-07-06 15:45:19 | INFO     | Murray.main:BetterGroups:509 | Best result for size 118: MAPE=2342900906657.1021, SMAPE=193.2258, Holdout=70.30%
2025-07-06 15:45:19 | INFO     | Murray.main:BetterGroups:509 | Best result for size 119: MAPE=1688910319574.4365, SMAPE=193.2428, Holdout=70.52%
2025-07-06 15:45:19 | INFO     | Murray.main:BetterGroups:509 | Best result for size 120: MAPE=3250157665738.3403, SMAPE=193.3152, Holdout=70.02%
2025-07-06 15:45:19 | INFO     | Murray.main:BetterGroups:509 | Best result for size 122: MAPE=2583041968530.6108, SMAPE=193.4199, Holdout=70.73%
2025-07-06 15:45:19 | INFO     | Murray.main:BetterGroups:509 | Best result for size 123: MAPE=2347220103994.8633, SMAPE=193.4057, Holdout=71.77%
2025-07-06 15:45:19 | INFO     | Murray.main:BetterGroups:509 | Best result for size 126: MAPE=2124395321857.1240, SMAPE=193.3384, Holdout=70.62%
2025-07-06 15:45:20 | INFO     | Murray.main:run_geo_analysis_streamlit_app:821 | BetterGroups completed successfully. Results for 9 sizes
2025-07-06 15:45:20 | INFO     | Murray.main:run_geo_analysis_streamlit_app:824 | Step 3: Evaluating sensitivity for different deltas and periods.....
2025-07-06 15:45:31 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 30 completed for size 115. MDE found: 0.08 with p-value: 0.0797
2025-07-06 15:45:43 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 40 completed for size 115. MDE found: 0.03 with p-value: 0.0911
2025-07-06 15:45:55 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 50 completed for size 115. MDE found: 0.05 with p-value: 0.0862
2025-07-06 15:46:05 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 60 completed for size 115. MDE found: 0.08 with p-value: 0.078
2025-07-06 15:46:16 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 30 completed for size 116. MDE found: None with p-value: None
2025-07-06 15:46:26 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 40 completed for size 116. MDE found: 0.11 with p-value: 0.088
2025-07-06 15:46:37 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 50 completed for size 116. MDE found: None with p-value: None
2025-07-06 15:46:48 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 60 completed for size 116. MDE found: None with p-value: None
2025-07-06 15:46:58 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 30 completed for size 117. MDE found: 0.14 with p-value: 0.0886
2025-07-06 15:47:09 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 40 completed for size 117. MDE found: 0.04 with p-value: 0.0864
2025-07-06 15:47:20 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 50 completed for size 117. MDE found: 0.060000000000000005 with p-value: 0.0985
2025-07-06 15:47:30 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 60 completed for size 117. MDE found: 0.09999999999999999 with p-value: 0.0832
2025-07-06 15:47:41 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 30 completed for size 118. MDE found: 0.14 with p-value: 0.0912
