2025-07-16 21:47:17 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-16 21:47:19 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-16 21:47:19 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-16 21:47:20 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-16 21:47:21 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-16 21:47:22 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-16 21:47:22 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-16 21:47:22 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-16 21:47:22 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-16 21:47:22 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-16 21:47:23 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-16 21:47:23 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-16 21:47:23 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-16 21:47:28 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-16 21:47:33 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-16 21:47:33 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-16 21:47:34 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-16 21:47:36 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-16 21:47:36 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1593 | Starting run_geo_analysis_streamlit_app............
2025-07-16 21:47:36 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1602 | Step 1: Generating market correlations.....
2025-07-16 21:47:36 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1604 | Market correlations generated successfully.
2025-07-16 21:47:36 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1607 | Step 2: Finding best groups for control and treatment.....
2025-07-16 21:47:36 | INFO     | Murray.main:BetterGroups:893 | Starting single-cell mode
2025-07-16 21:47:37 | INFO     | Murray.main:BetterGroups:925 | Processed 1/50000 groups
2025-07-16 21:48:08 | INFO     | Murray.main:BetterGroups:925 | Processed 5000/50000 groups
2025-07-16 21:48:38 | INFO     | Murray.main:BetterGroups:925 | Processed 10000/50000 groups
2025-07-16 21:49:08 | INFO     | Murray.main:BetterGroups:925 | Processed 15000/50000 groups
2025-07-16 21:49:38 | INFO     | Murray.main:BetterGroups:925 | Processed 20000/50000 groups
2025-07-16 21:50:09 | INFO     | Murray.main:BetterGroups:925 | Processed 25000/50000 groups
2025-07-16 21:50:38 | INFO     | Murray.main:BetterGroups:925 | Processed 30000/50000 groups
2025-07-16 21:51:09 | INFO     | Murray.main:BetterGroups:925 | Processed 35000/50000 groups
2025-07-16 21:51:38 | INFO     | Murray.main:BetterGroups:925 | Processed 40000/50000 groups
2025-07-16 21:52:07 | INFO     | Murray.main:BetterGroups:925 | Processed 45000/50000 groups
2025-07-16 21:52:38 | INFO     | Murray.main:BetterGroups:925 | Processed 50000/50000 groups
2025-07-16 21:52:38 | INFO     | Murray.main:BetterGroups:926 | All groups processed. Results count: 50000
