2025-07-16 23:55:09 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-16 23:55:11 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-16 23:55:12 | INFO     | Murray.auxiliary:analyze_data_characteristics:178 | Analyzing data characteristics for statistical test selection
2025-07-16 23:55:12 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1816 | Starting run_geo_analysis_streamlit_app............
2025-07-16 23:55:12 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1825 | Step 1: Generating market correlations.....
2025-07-16 23:55:12 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1827 | Market correlations generated successfully.
2025-07-16 23:55:12 | INFO     | Murray.main:run_geo_analysis_streamlit_app:1830 | Step 2: Finding best groups for control and treatment.....
2025-07-16 23:55:12 | INFO     | Murray.main:BetterGroups:914 | Starting single-cell mode
2025-07-16 23:55:13 | INFO     | Murray.main:BetterGroups:947 | Processed 1/50000 groups
2025-07-16 23:55:39 | INFO     | Murray.main:BetterGroups:947 | Processed 5000/50000 groups
2025-07-16 23:56:04 | INFO     | Murray.main:BetterGroups:947 | Processed 10000/50000 groups
2025-07-16 23:56:26 | INFO     | Murray.main:BetterGroups:947 | Processed 15000/50000 groups
2025-07-16 23:56:47 | INFO     | Murray.main:BetterGroups:947 | Processed 20000/50000 groups
2025-07-16 23:57:06 | INFO     | Murray.main:BetterGroups:947 | Processed 25000/50000 groups
2025-07-16 23:57:28 | INFO     | Murray.main:BetterGroups:947 | Processed 30000/50000 groups
2025-07-16 23:57:48 | INFO     | Murray.main:BetterGroups:947 | Processed 35000/50000 groups
2025-07-16 23:58:04 | INFO     | Murray.main:BetterGroups:947 | Processed 40000/50000 groups
2025-07-16 23:58:19 | INFO     | Murray.main:BetterGroups:947 | Processed 45000/50000 groups
2025-07-16 23:58:32 | INFO     | Murray.main:BetterGroups:947 | Processed 50000/50000 groups
