2025-10-05 21:01:19 | WARNING  | Murray.main:evaluate_group:381 | No control group found for treatment group: ['region_d']
2025-10-05 21:01:19 | WARNING  | Murray.main:evaluate_group:381 | No control group found for treatment group: ['region_a']
2025-10-05 21:01:19 | INFO     | Murray.main:BetterGroups:1040 | Processed 1/15 groups
2025-10-05 21:01:19 | WARNING  | Murray.main:evaluate_group:381 | No control group found for treatment group: ['region_c']
2025-10-05 21:01:19 | WARNING  | Murray.main:evaluate_group:381 | No control group found for treatment group: ['region_e']
2025-10-05 21:01:19 | INFO     | Murray.main:BetterGroups:1040 | Processed 2/15 groups
2025-10-05 21:01:19 | WARNING  | Murray.main:evaluate_group:381 | No control group found for treatment group: ['region_a', 'region_b']
2025-10-05 21:01:19 | WARNING  | Murray.main:evaluate_group:381 | No control group found for treatment group: ['region_b', 'region_c']
2025-10-05 21:01:19 | INFO     | Murray.main:BetterGroups:1040 | Processed 3/15 groups
2025-10-05 21:01:19 | WARNING  | Murray.main:evaluate_group:381 | No control group found for treatment group: ['region_b', 'region_d']
2025-10-05 21:01:19 | WARNING  | Murray.main:evaluate_group:381 | No control group found for treatment group: ['region_c', 'region_d']
2025-10-05 21:01:19 | INFO     | Murray.main:BetterGroups:1040 | Processed 4/15 groups
2025-10-05 21:01:19 | WARNING  | Murray.main:evaluate_group:381 | No control group found for treatment group: ['region_c', 'region_e']
2025-10-05 21:01:19 | WARNING  | Murray.main:evaluate_group:381 | No control group found for treatment group: ['region_b', 'region_e']
2025-10-05 21:01:19 | INFO     | Murray.main:BetterGroups:1040 | Processed 5/15 groups
2025-10-05 21:01:19 | WARNING  | Murray.main:evaluate_group:381 | No control group found for treatment group: ['region_a', 'region_d']
2025-10-05 21:01:19 | WARNING  | Murray.main:evaluate_group:381 | No control group found for treatment group: ['region_a', 'region_c']
2025-10-05 21:01:19 | INFO     | Murray.main:BetterGroups:1040 | Processed 6/15 groups
2025-10-05 21:01:19 | WARNING  | Murray.main:evaluate_group:381 | No control group found for treatment group: ['region_a', 'region_e']
2025-10-05 21:01:19 | WARNING  | Murray.main:evaluate_group:381 | No control group found for treatment group: ['region_d', 'region_e']
2025-10-05 21:01:19 | INFO     | Murray.main:BetterGroups:1040 | Processed 7/15 groups
2025-10-05 21:01:19 | INFO     | Murray.main:BetterGroups:1040 | Processed 8/15 groups
2025-10-05 21:01:19 | INFO     | Murray.main:BetterGroups:1040 | Processed 9/15 groups
2025-10-05 21:01:19 | INFO     | Murray.main:BetterGroups:1040 | Processed 10/15 groups
2025-10-05 21:01:19 | INFO     | Murray.main:BetterGroups:1040 | Processed 11/15 groups
2025-10-05 21:01:19 | INFO     | Murray.main:BetterGroups:1040 | Processed 12/15 groups
2025-10-05 21:01:19 | INFO     | Murray.main:BetterGroups:1040 | Processed 13/15 groups
2025-10-05 21:01:19 | INFO     | Murray.main:BetterGroups:1040 | Processed 14/15 groups
2025-10-05 21:01:19 | INFO     | Murray.main:BetterGroups:1040 | Processed 15/15 groups
2025-10-05 21:01:19 | INFO     | Murray.main:BetterGroups:1041 | All groups processed. Results count: 15
2025-10-05 21:01:19 | INFO     | Murray.main:BetterGroups:1008 | Starting single-cell mode
2025-10-05 21:01:19 | INFO     | Murray.main:BetterGroups:1040 | Processed 1/3 groups
2025-10-05 21:01:19 | INFO     | Murray.main:BetterGroups:1040 | Processed 2/3 groups
2025-10-05 21:01:19 | INFO     | Murray.main:BetterGroups:1040 | Processed 3/3 groups
2025-10-05 21:01:19 | INFO     | Murray.main:BetterGroups:1041 | All groups processed. Results count: 3
